       ID,grpID, flag ,       ra ,      dec ,   MagK ,     Ks ,    logK ,  Vls ,  dist , mDist , R_theta , sigmaP_dyn , sigmaP_lum ,Mv_dyn,Mv_lum,Rg_angular,Rg_dyn,R2t_dyn,R2t_lum,r2t_lum,tX_dyn,tX_lum,No_Galaxies,nest
  1007232 ,  4185 ,    0 , 185.1209 ,  -0.0207 , -22.99 ,   8.54 , 10.5086 , 1569 , 20.21 , 20.21 , 0.00000 ,        0.0 ,       85.5 , 0.00e+00 , 1.25e+12 ,      0.000 ,  0.000 ,   0.000 ,   0.232 ,   0.144 , 0.00e+00 , 6.80e+16 ,           1 , 1007232
  1007248 ,  4217 ,    0 , 105.7622 ,  56.3995 , -23.09 ,   5.53 , 10.5494 ,  464 ,  5.30 ,  5.30 , 0.00000 ,        0.0 ,       88.4 , 0.00e+00 , 1.38e+12 ,      0.000 ,  0.000 ,   0.000 ,   0.239 ,   0.144 , 0.00e+00 , 6.80e+16 ,           1 , 1007248
  1007269 ,  4251 ,    0 , 170.5404 ,  57.2385 , -21.51 ,   9.76 ,  9.9154 , 1250 , 17.95 , 17.95 , 0.00000 ,        0.0 ,       57.1 , 0.00e+00 , 3.73e+11 ,      0.000 ,  0.000 ,   0.000 ,   0.155 ,   0.144 , 0.00e+00 , 6.80e+16 ,           1 , 1007269
  1007273 ,  4258 ,    0 , 304.4311 ,   8.3440 , -22.81 ,   9.02 , 10.4362 , 1427 , 23.24 , 23.24 , 0.00000 ,        0.0 ,       80.8 , 0.00e+00 , 1.05e+12 ,      0.000 ,  0.000 ,   0.000 ,   0.219 ,   0.144 , 0.00e+00 , 6.80e+16 ,           1 , 1007273
  1007281 ,  4270 ,    0 , 220.8434 ,  23.1179 , -23.19 ,   8.41 , 10.5873 , 1397 , 20.85 , 20.85 , 0.00000 ,        0.0 ,       91.3 , 0.00e+00 , 1.52e+12 ,      0.000 ,  0.000 ,   0.000 ,   0.247 ,   0.144 , 0.00e+00 , 6.80e+16 ,           1 , 1007281
  1007285 ,  4278 ,    0 ,  49.2835 , -50.5186 , -22.58 ,   9.21 , 10.3443 , 1405 , 22.86 , 22.86 , 0.00000 ,        0.0 ,       75.4 , 0.00e+00 , 8.56e+11 ,      0.000 ,  0.000 ,   0.000 ,   0.204 ,   0.144 , 0.00e+00 , 6.80e+16 ,           1 , 1007285
  1007309 ,  4327 ,    0 ,  28.6741 , -43.5253 , -22.24 ,   8.35 , 10.2099 , 1282 , 13.18 , 13.18 , 0.00000 ,        0.0 ,       68.6 , 0.00e+00 , 6.46e+11 ,      0.000 ,  0.000 ,   0.000 ,   0.186 ,   0.144 , 0.00e+00 , 6.80e+16 ,           1 , 1007309
  1007385 ,  4450 ,    0 ,  98.3216 , -57.5470 , -22.93 ,   8.91 , 10.4846 , 1925 , 23.33 , 23.33 , 0.00000 ,        0.0 ,       83.9 , 0.00e+00 , 1.18e+12 ,      0.000 ,  0.000 ,   0.000 ,   0.227 ,   0.144 , 0.00e+00 , 6.80e+16 ,           1 , 1007385
  1007407 ,  4487 ,    0 ,  73.4091 , -56.3407 , -22.89 ,   8.36 , 10.4699 , 1318 , 17.81 , 17.81 , 0.00000 ,        0.0 ,       82.9 , 0.00e+00 , 1.14e+12 ,      0.000 ,  0.000 ,   0.000 ,   0.225 ,   0.144 , 0.00e+00 , 6.80e+16 ,           1 , 1007407
  1007411 ,  4495 ,    0 ,  28.8093 , -26.3417 , -21.54 ,   9.79 ,  9.9287 , 1430 , 18.45 , 18.45 , 0.00000 ,        0.0 ,       57.6 , 0.00e+00 , 3.82e+11 ,      0.000 ,  0.000 ,   0.000 ,   0.156 ,   0.144 , 0.00e+00 , 6.80e+16 ,           1 , 1007411
  1007421 ,  4509 ,    0 ,  91.5660 , -61.9383 , -22.34 ,   8.94 , 10.2479 , 1375 , 17.99 , 17.99 , 0.00000 ,        0.0 ,       70.4 , 0.00e+00 , 6.98e+11 ,      0.000 ,  0.000 ,   0.000 ,   0.191 ,   0.144 , 0.00e+00 , 6.80e+16 ,           1 , 1007421
  1007427 ,  4521 ,    0 ,  49.8146 ,   0.3958 , -23.09 ,   8.71 , 10.5471 , 1707 , 22.88 , 22.88 , 0.00000 ,        0.0 ,       88.2 , 0.00e+00 , 1.37e+12 ,      0.000 ,  0.000 ,   0.000 ,   0.239 ,   0.144 , 0.00e+00 , 6.80e+16 ,           1 , 1007427
