"The Catalogue of Principal Galaxies (PGC) Number","Common name","Right ascension (J2000)","Declination (J2000)","Galactic longitude","Galactic latitude","Log intrinsic K luminosity at group distance","Heliocentric velocity","Velocity in Local Sheet reference frame (Tully et al. 2008)","Measured distance for individual galaxy","Percent error in measured distance","PGC identification of brightest member of group","PGC identification of brightest member of association","Number of group members","Unweighted average group heliocentric velocity","Unweighted average group velocity in Local Sheet frame","Log group mass by scaling relation from intrinsic luminosity and M/L prescription","Log group mass from virial theorem with bi-weight dispersion and radius parameters","Supergalactic X","Supergalactic Y","Supergalactic Z"
10588,UGC02275,41.9909,3.8855,169.6319,-48.1354,9.19,1025,1086,0.00,0,10588,10266,1,1025,1086,11.107,,8.17,-10.15,-6.31
10650,PGC010650,42.2196,-0.3509,174.2917,-51.1190,8.82,2675,2717,0.00,0,10650,10060,1,2675,2717,10.914,,18.18,-26.53,-16.68
10669,NGC1114,42.2801,-16.9933,198.6335,-61.0015,10.68,3415,3385,51.05,18,10669,10669,1,3415,3385,12.288,,11.90,-41.99,-26.48
10670,UGC02302,42.2865,2.1271,171.7256,-49.2623,8.62,1103,1156,0.00,0,10670,10266,1,1103,1156,10.815,,8.30,-10.98,-6.93
10673,NGC1110,42.2899,-7.8371,183.7298,-56.1064,8.82,1335,1345,19.86,14,10464,10266,8,1399,1409,12.288,11.462,7.64,-15.50,-9.78
10682,PGC010682,42.3430,-2.6545,177.0783,-52.6570,7.93,1092,1124,0.00,0,10682,10266,1,1092,1124,10.471,,6.99,-11.20,-7.08
10709,ESO416-032,42.3996,-30.5780,227.6125,-63.9729,9.39,1271,1183,0.00,0,10488,13418,6,1267,1184,12.902,12.953,-0.04,-15.47,-9.80
10768,PGC010768,42.5821,19.1121,158.0728,-35.5207,8.92,1241,1362,11.38,18,10768,10768,1,1241,1362,10.966,,8.66,-6.21,-3.98
10789,NGC1121,42.6634,-1.7342,176.3619,-51.7869,10.36,2583,2618,0.00,0,10789,10060,1,2583,2618,11.948,,16.78,-25.77,-16.52
10813,PGC010813,42.7689,4.4535,169.9572,-47.1990,8.96,1010,1071,0.00,0,10813,10266,1,1010,1071,10.984,,8.17,-9.84,-6.35
10830,ESO480-006,42.8283,-26.9687,219.5371,-63.3729,9.58,3436,3361,0.00,0,10830,10830,1,3436,3361,11.340,,2.73,-37.63,-24.19
10851,NGC1125,42.9183,-16.6509,198.5454,-60.3024,10.70,3476,3445,0.00,0,10851,10851,1,3476,3445,12.307,,10.97,-37.46,-24.21
10854,UGC02345,42.9696,-1.1728,176.0629,-51.1753,9.31,1506,1542,14.26,18,10854,10266,1,1506,1542,11.176,,6.98,-10.43,-6.78
10861,UGC02352,43.0221,4.3701,170.3179,-47.0967,8.34,1809,1869,0.00,0,10861,10861,1,1809,1869,10.678,,14.23,-17.13,-11.18
10942,NGC1137,43.5114,2.9621,172.2442,-47.8212,10.53,3042,3094,0.00,0,10942,11230,1,3042,3094,12.121,,22.72,-28.64,-19.11
10956,UGC02370,43.6092,42.6501,145.8098,-14.6919,9.74,2158,2353,36.48,18,11118,11521,2,2246,2441,12.364,12.452,34.79,-8.60,-6.15
10965,NGC1145,43.6395,-18.6350,202.7801,-60.4866,10.47,2071,2029,27.80,14,10965,10965,1,2071,2029,12.057,,5.70,-22.68,-15.04
10966,NGC1140,43.6398,-10.0283,188.3252,-56.3400,9.66,1483,1478,17.30,14,10966,10266,2,1496,1490,11.413,10.396,6.04,-13.49,-8.99
10994,PGC010994,43.7388,-17.0510,199.9431,-59.7644,9.60,3063,3027,0.00,0,10994,11264,1,3063,3027,11.354,,9.36,-32.67,-21.77
11016,ESO356-018,43.8030,-36.2996,239.9914,-62.2675,9.40,1443,1328,17.46,14,11016,13418,2,1483,1368,11.301,10.676,-1.78,-14.49,-9.58
11065,UGC02392,43.9434,33.7666,150.5802,-22.3448,8.74,1548,1716,23.88,18,11065,11065,1,1548,1716,10.877,,21.50,-8.47,-6.02
11078,IC0271,43.9975,-12.0079,191.6920,-57.1358,8.86,1589,1574,0.00,0,11078,11420,1,1589,1574,10.935,,6.64,-16.50,-11.13
11092,ESO546-033,44.0515,-19.6501,204.9873,-60.4966,9.30,1535,1488,0.00,0,11092,13418,1,1535,1488,11.167,,3.72,-16.17,-10.88
11118,NGC1138,44.1517,43.0474,145.9772,-14.1536,10.70,2335,2530,0.00,0,11118,11521,2,2246,2441,12.364,12.452,35.09,-8.31,-6.26
11135,PGC011135,44.1921,-11.0841,190.4566,-56.4782,8.44,1590,1579,0.00,0,5065956,5065956,2,1579,1569,10.912,10.167,6.94,-16.33,-11.11
11139,ESO154-023,44.2090,-54.5706,271.8061,-54.3069,8.84,574,395,6.03,8,11139,11139,1,574,395,10.923,,-2.46,-4.59,-3.04
11153,UGC02429,44.2876,1.3263,174.7747,-48.4748,8.93,1776,1818,30.62,25,11153,11153,1,1776,1818,10.970,,16.12,-21.43,-14.78
11156,IC0273,44.2948,2.7751,173.2834,-47.4253,10.50,3188,3236,35.81,18,11156,11156,1,3188,3236,12.083,,19.62,-24.65,-17.03
11163,UGC02422,44.2981,45.1434,145.0477,-12.2601,9.84,2007,2207,0.00,0,11404,11404,2,1980,2179,12.963,11.484,28.17,-5.72,-4.45
11178,UGC02432,44.3612,10.1365,166.5739,-41.8152,7.87,759,838,0.00,0,11178,11178,1,759,838,10.441,,7.27,-6.96,-4.86
11192,PGC011192,44.4330,-16.5713,199.6444,-58.9590,9.71,3520,3485,0.00,0,11192,10851,1,3520,3485,11.428,,11.14,-37.24,-25.46
11202,IC1870,44.4723,-2.3465,179.0608,-50.8918,9.44,1671,1697,17.14,14,11202,10266,1,1671,1697,11.253,,8.07,-12.43,-8.61
11211,ESO199-007,44.5172,-49.3823,263.9950,-57.0662,7.30,630,467,6.03,9,11211,11139,1,630,467,10.155,,-1.96,-4.74,-3.17
11230,NGC1153,44.5429,3.3619,172.9583,-46.8280,10.92,3126,3176,0.00,0,11230,11230,2,3115,3165,12.657,10.134,23.49,-28.75,-20.10
11245,UGC02443,44.5900,-2.0426,178.8314,-50.6000,10.00,2515,2542,33.73,14,11245,11245,1,2515,2542,11.633,,16.04,-24.35,-16.96
11248,PGC011248,44.6011,-4.2956,181.5474,-52.0827,9.77,2366,2383,24.21,25,11248,11248,1,2366,2383,11.465,,10.67,-17.84,-12.41
11252,UGC02441,44.5921,3.8627,172.5139,-46.4279,10.27,3053,3105,34.04,18,11252,11252,1,3053,3105,11.860,,19.18,-23.03,-16.14
11261,ESO546-034,44.6538,-18.6990,203.6262,-59.6211,8.62,1568,1523,0.00,0,11261,13418,1,1568,1523,10.815,,4.13,-16.38,-11.27
11264,IC0276,44.6730,-15.7021,198.3354,-58.3715,10.36,3147,3114,0.00,0,11264,11264,2,3112,3080,12.009,11.590,10.46,-32.72,-22.59
11265,UGC02446,44.6727,3.4349,173.0234,-46.6862,10.26,3104,3154,0.00,0,11230,11230,2,3115,3165,12.657,10.134,23.51,-28.65,-20.14
11282,UGC02411,44.6975,75.7445,130.6540,14.8187,10.18,2547,2794,33.27,14,11282,11282,1,2547,2794,11.782,,31.94,8.04,4.68
11329,NGC1156,44.9271,25.2389,156.3070,-29.1941,9.13,375,511,0.00,0,11329,11329,2,342,478,11.079,10.852,5.30,-2.91,-2.15
11336,IC0277,44.9609,2.7713,173.9962,-46.9693,10.40,2849,2895,0.00,0,11336,11336,1,2849,2895,11.983,,21.14,-26.32,-18.72
11352,ESO546-036,45.0639,-22.2910,210.6772,-60.4293,9.34,3006,2945,59.98,18,11352,11352,1,3006,2945,11.188,,8.50,-48.73,-33.92
11357,ESO356-026,45.0906,-36.9211,240.8847,-61.1383,8.93,1599,1478,0.00,0,11357,13418,1,1599,1478,10.968,,-2.22,-16.14,-11.09
11359,NGC1163,45.0921,-17.1525,201.1733,-58.6301,10.15,2323,2283,38.90,14,11359,11359,1,2323,2283,11.757,,8.94,-31.01,-21.72
11367,PGC011367,45.1322,-15.7362,198.7662,-57.9908,9.64,1622,1588,0.00,0,11367,11420,2,1594,1558,11.453,11.100,5.28,-16.48,-11.57
11368,UGC02459,45.1536,49.0437,143.6729,-8.5556,10.42,2464,2672,37.15,14,11368,11521,1,2464,2672,12.004,,36.51,-5.05,-4.62
11371,UGC02463,45.1560,40.2514,148.0649,-16.2326,9.50,1901,2085,32.51,18,11371,11371,1,1901,2085,11.286,,30.67,-8.40,-6.76
11375,UGC02479,45.1675,0.0205,177.1152,-48.7677,9.27,2854,2888,49.43,18,11375,11375,1,2854,2888,11.152,,25.05,-34.66,-24.80
11383,NGC1159,45.1938,43.1625,146.6061,-13.6851,9.94,2633,2826,19.32,18,11383,11383,1,2633,2826,11.592,,18.53,-4.21,-3.50
11397,UGC02482,45.2637,-0.7433,178.0613,-49.2231,9.22,2647,2677,0.00,0,11397,11609,1,2647,2677,11.121,,17.67,-25.19,-18.08
11403,NGC1160,45.3053,44.9554,145.7781,-12.0822,10.47,2528,2725,24.89,14,11403,11403,1,2528,2725,12.053,,24.08,-4.79,-4.11
11404,NGC1161,45.3088,44.8971,145.8096,-12.1318,11.25,1954,2151,0.00,0,11404,11404,2,1980,2179,12.963,11.484,28.06,-5.61,-4.81
11420,NGC1172,45.4002,-14.8366,197.4841,-57.3536,10.23,1669,1638,21.18,13,11420,11420,2,1661,1628,11.859,10.348,5.69,-16.64,-11.81
11426,UGC02488,45.4301,28.7367,154.6136,-26.0028,8.81,3136,3283,0.00,0,11426,11426,1,3136,3283,10.910,,37.57,-17.79,-13.70
11453,UGC02497,45.5350,29.1070,154.4808,-25.6404,10.07,3123,3271,33.11,18,11453,11453,1,3123,3271,11.688,,28.53,-13.28,-10.31
11469,ESO480-020,45.6187,-22.8011,211.9448,-60.0727,8.62,1442,1377,0.00,0,11479,13418,4,1436,1370,12.121,12.037,2.89,-17.62,-12.49
11478,ESO480-022,45.6435,-23.1288,212.5920,-60.1348,8.70,1567,1500,0.00,0,11479,13418,4,1436,1370,12.121,12.037,2.79,-17.76,-12.60
11479,NGC1187,45.6567,-22.8672,212.0911,-60.0562,10.51,1384,1318,21.78,14,11479,13418,4,1436,1370,12.121,12.037,2.86,-17.60,-12.50
11480,NGC1179,45.6603,-18.8978,204.6755,-58.8092,9.21,1775,1726,0.00,0,11480,11480,1,1775,1726,11.117,,4.60,-18.36,-13.10
11503,NGC1189,45.8522,-15.6234,199.1498,-57.3191,9.55,2728,2692,0.00,0,11638,11638,7,2609,2572,13.021,12.558,8.98,-27.58,-19.89
11508,NGC1190,45.8592,-15.6621,199.2196,-57.3301,9.82,2618,2582,0.00,0,11638,11638,7,2609,2572,13.021,12.558,8.92,-27.47,-19.81
11511,NGC1182,45.8703,-9.6713,189.9810,-54.3224,9.97,3372,3361,0.00,0,11511,11511,1,3372,3361,11.616,,15.87,-33.90,-24.65
11515,ESO547-004,45.8784,-20.1755,207.1353,-59.0620,9.27,3323,3267,49.66,18,11515,11515,1,3323,3267,11.152,,8.83,-39.70,-28.50
11520,ESO547-005,45.8955,-18.3671,203.8883,-58.4053,8.86,1592,1544,17.06,25,11520,13418,1,1592,1544,10.937,,3.56,-13.54,-9.75
11521,NGC1169,45.8949,46.3863,145.4277,-10.6334,11.15,2387,2586,35.65,14,11521,11521,1,2387,2586,12.829,,34.69,-6.00,-5.61
11522,NGC1196,45.8965,-12.0764,193.5453,-55.5864,10.62,3385,3364,0.00,0,11522,11522,2,3325,3304,12.364,11.595,13.88,-33.91,-24.60
11527,NGC1199,45.9105,-15.6138,199.1797,-57.2645,10.69,2570,2534,33.88,13,11638,11638,7,2609,2572,13.021,12.558,8.65,-26.55,-19.19
11533,NGC1188,45.9310,-15.4848,198.9821,-57.1897,9.99,2733,2697,0.00,0,11638,11638,7,2609,2572,13.021,12.558,9.06,-27.54,-19.92
11538,ESO480-025,45.9599,-25.2725,216.9322,-60.3273,8.93,1725,1648,18.54,25,771919,13418,2,1687,1608,12.524,11.594,1.57,-14.21,-10.17
11543,UGC02485,46.0183,74.4444,131.6213,13.8557,9.71,2013,2258,0.00,0,11543,11543,1,2013,2258,11.423,,29.08,6.84,3.70
11552,NGC1171,45.9958,43.3982,147.0078,-13.1914,10.60,2742,2933,0.00,0,11552,11552,1,2742,2933,12.193,,37.54,-8.17,-7.32
11557,IC0285,46.0258,-12.0154,193.5674,-55.4467,10.15,3265,3244,0.00,0,11522,11522,2,3325,3304,12.364,11.595,13.87,-33.72,-24.58
11573,PGC011573,46.0870,-6.9963,186.5154,-52.6055,9.25,2138,2138,0.00,0,11573,11573,1,2138,2138,11.140,,11.32,-21.07,-15.51
11586,PGC011586,46.1833,54.1131,141.7612,-3.8125,11.46,2205,2422,0.00,0,11586,11586,1,2205,2422,13.179,,32.13,-1.87,-2.69
11595,ESO248-002,46.2759,-45.9621,257.3575,-57.5849,8.97,1367,1211,0.00,0,11595,13418,1,1367,1211,10.989,,-4.33,-12.72,-8.95
11609,PGC011609,46.3263,-0.1595,178.5094,-48.0475,9.36,2674,2703,0.00,0,11609,11609,1,2674,2703,11.204,,18.14,-24.90,-18.70
11617,NGC1186,46.3785,42.8354,147.5468,-13.5375,11.08,2740,2929,34.67,14,11617,11521,2,2732,2919,12.924,10.410,33.18,-7.41,-6.81
11636,ESO547-009,46.4943,-19.3913,206.0979,-58.2499,8.43,1685,1630,0.00,0,11636,13418,1,1685,1630,10.719,,4.15,-17.20,-12.63
11638,NGC1209,46.5125,-15.6113,199.6429,-56.7424,11.03,2664,2626,36.31,13,11638,11638,7,2609,2572,13.021,12.558,9.26,-28.24,-20.86
11639,UGC02535,46.5489,1.5921,176.8553,-46.6827,8.95,2968,3004,0.00,0,11639,11639,1,2968,3004,10.978,,21.20,-27.04,-20.57
11643,IC0284,46.5414,42.3720,147.8950,-13.8762,10.70,2723,2910,0.00,0,11617,11521,2,2732,2919,12.924,10.410,33.08,-7.59,-7.02
11648,NGC1198,46.5551,41.8490,148.1785,-14.3213,10.12,1592,1777,0.00,0,11648,11648,1,1592,1777,11.736,,22.55,-5.35,-4.92
11658,NGC1231,46.6221,-15.5691,199.6580,-56.6291,9.33,2330,2291,0.00,0,11638,11638,7,2609,2572,13.021,12.558,8.86,-26.89,-19.95
11670,NGC1211,46.7184,-0.7944,179.6079,-48.1855,10.86,3207,3232,28.71,23,11670,11670,2,3262,3287,12.496,11.310,14.13,-19.80,-15.11
11677,PGC011677,46.7683,-14.0047,197.2657,-55.7936,8.58,1528,1495,0.00,0,11677,11420,1,1528,1495,10.793,,5.62,-15.32,-11.45
11744,PGC011744,47.0793,-13.9030,197.3573,-55.4794,9.35,1624,1591,10.52,25,11744,11744,1,1624,1591,11.196,,2.98,-8.05,-6.09
11746,ESO248-004,47.0885,-46.3710,257.6313,-56.9053,8.53,1404,1245,0.00,0,11746,13418,1,1404,1245,10.769,,-4.57,-12.96,-9.31
11750,IC1892,47.1129,-23.0560,213.1263,-58.8086,10.24,2886,2814,36.48,14,11750,11750,1,2886,2814,11.836,,4.65,-29.00,-21.64
11771,UGC02554,47.2281,41.4669,148.8264,-14.3905,10.21,2847,3029,0.00,0,11771,11771,1,2847,3029,11.814,,38.34,-9.12,-8.83
11774,NGC1222,47.2365,-2.9553,182.5980,-49.2070,10.34,2469,2483,0.00,0,11774,11774,2,2475,2489,11.952,9.699,15.26,-23.27,-18.06
11782,PGC011782,47.2875,-10.2932,192.1568,-53.4905,10.06,3180,3162,57.02,25,11782,11782,1,3180,3162,11.682,,19.56,-42.50,-32.59
11787,UGC02558,47.3338,39.7094,149.8462,-15.8486,8.61,3257,3434,0.00,0,11787,11787,1,3257,3434,10.808,,43.00,-11.39,-10.83
11793,UGC02519,47.3302,80.1311,128.8162,18.8736,10.42,2377,2624,27.42,14,12174,12174,4,2370,2616,12.936,12.486,25.66,8.39,4.81
11798,ESO547-011,47.3753,-17.4161,203.2633,-56.7395,9.19,2205,2156,0.00,0,11798,13505,1,2205,2156,11.104,,6.44,-22.31,-16.95
11800,PGC011800,47.3799,-4.9122,185.0988,-50.3211,10.04,3123,3128,0.00,0,11800,11800,1,3123,3128,11.666,,17.91,-29.74,-23.12
11809,ESO547-012,47.4038,-17.8316,203.9821,-56.8758,8.36,2007,1956,40.36,25,11809,11809,1,2007,1956,10.686,,8.75,-31.37,-23.84
11812,ESO300-014,47.4094,-41.0319,248.0576,-58.4621,9.22,955,813,9.59,14,12209,12209,3,818,675,12.530,12.430,-1.77,-7.61,-5.56
11818,PGC011818,47.4135,-15.8653,200.7342,-56.0700,9.48,2722,2680,0.00,0,11818,11638,1,2722,2680,11.274,,8.94,-27.51,-20.98
11819,NGC1232,47.4393,-20.5792,208.7727,-57.8092,10.84,1651,1589,0.00,0,11819,13418,2,1596,1532,12.486,11.945,3.48,-16.11,-12.20
11836,NGC1249,47.5050,-53.3358,268.2131,-53.4145,9.50,1053,871,15.07,14,11836,13418,1,1053,871,11.288,,-5.88,-11.28,-8.09
11842,ESO300-016,47.5433,-40.0024,246.0982,-58.6184,7.98,710,571,0.00,0,12209,12209,3,818,675,12.530,12.430,-1.52,-7.23,-5.32
11846,IC0292,47.5539,40.7657,149.4207,-14.8608,10.46,2990,3170,38.73,14,11846,11846,1,2990,3170,12.045,,36.61,-9.02,-8.86
11851,IC1898,47.5800,-22.4058,212.1415,-58.2222,9.73,1307,1237,20.32,14,11851,13418,1,1307,1237,11.442,,2.81,-16.03,-12.16
11856,ESO357-007,47.6010,-33.1542,232.8664,-59.5018,8.50,1122,1008,17.22,14,11856,13418,1,1122,1008,10.756,,-0.84,-13.79,-10.28
11885,PGC011885,47.8068,-4.2464,184.6905,-49.5759,8.89,2245,2251,0.00,0,11885,11670,1,2245,2251,10.950,,13.19,-21.14,-16.74
11950,PGC011950,48.0680,-21.0495,209.9486,-57.3972,9.12,1541,1475,0.00,0,11819,13418,2,1596,1532,12.486,11.945,3.28,-15.89,-12.29
11968,PGC011968,48.1975,-5.2683,186.3110,-49.8903,8.92,2097,2098,0.00,0,11970,11670,2,2141,2142,11.974,10.630,12.06,-20.14,-16.16
11970,NGC1248,48.2024,-5.2247,186.2615,-49.8602,10.37,2185,2185,0.00,0,11970,11670,2,2141,2142,11.974,10.630,12.13,-20.22,-16.22
11977,ESO547-020,48.2403,-17.9299,204.6965,-56.1770,8.88,1994,1940,0.00,0,11977,13505,1,1994,1940,10.946,,5.55,-19.90,-15.57
11984,ESO116-012,48.2697,-57.3571,273.2771,-50.8250,9.29,1154,959,15.35,18,11984,11984,1,1154,959,11.161,,-6.96,-11.08,-8.02
12007,NGC1255,48.3832,-25.7252,218.6023,-58.2626,10.45,1686,1599,13.80,14,12007,13418,2,1711,1625,12.130,10.981,1.11,-10.88,-8.42
12011,ESO481-014,48.4194,-25.1902,217.6176,-58.1286,9.80,1735,1651,18.37,14,12007,13418,2,1711,1625,12.130,10.981,1.64,-14.45,-11.22
12034,NGC1258,48.5229,-21.7743,211.4621,-57.2070,9.21,1556,1485,0.00,0,12034,13418,1,1556,1485,11.121,,2.94,-15.41,-12.08
12041,NGC1253,48.5385,-2.8225,183.6907,-48.1171,10.22,1728,1738,20.89,14,12041,12041,2,1777,1787,11.846,10.760,9.63,-14.35,-11.74
12053,NGC1253A,48.5990,-2.8004,183.7217,-48.0562,9.09,1827,1836,0.00,0,12041,12041,2,1777,1787,11.846,10.760,9.67,-14.38,-11.79
12057,PGC012057,48.5825,24.1540,160.1287,-28.2092,8.49,1303,1423,0.00,0,12057,12057,1,1303,1423,10.751,,15.42,-8.20,-7.42
12063,UGC02601,48.6396,39.7691,150.6961,-15.2643,9.07,3167,3341,0.00,0,12063,12063,1,3167,3341,11.041,,41.82,-10.57,-11.14
12068,PGC012068,48.6596,-4.7739,186.1303,-49.2250,9.82,2216,2217,0.00,0,12068,11670,1,2216,2217,11.504,,12.72,-20.65,-16.89
12073,UGC02605,48.7083,40.2667,150.4641,-14.8169,9.87,2981,3156,0.00,0,12073,12073,1,2981,3156,11.542,,39.62,-9.69,-10.34
12117,PGC012117,48.9425,-12.0244,196.0317,-52.9842,10.32,3181,3150,0.00,0,12117,12117,1,3181,3150,11.908,,13.15,-30.96,-25.16
12130,PGC012130,49.0023,-5.4993,187.3351,-49.3849,10.11,2319,2316,32.21,14,12130,12130,1,2319,2316,11.728,,13.49,-22.54,-18.65
12131,NGC1266,49.0032,-2.4274,183.6682,-47.5076,10.37,2154,2164,0.00,0,12131,11670,1,2154,2164,11.960,,13.46,-19.60,-16.35
12145,ESO481-016,49.0377,-24.1997,216.0260,-57.3700,8.90,2082,2000,0.00,0,12145,13505,1,2082,2000,10.957,,2.83,-20.77,-16.48
12154,PGC012154,49.0887,-25.8548,219.0611,-57.6618,9.21,1309,1220,0.00,0,12154,13418,1,1309,1220,11.114,,1.26,-12.71,-10.07
12174,NGC1184,49.1872,80.7934,128.7062,19.5964,11.15,2342,2588,0.00,0,12174,12174,4,2370,2616,12.936,12.486,25.50,8.70,4.87
12181,ESO357-012,49.2222,-35.5414,237.3039,-58.0192,9.45,1570,1443,19.32,14,12651,13418,13,1669,1532,13.562,13.217,-1.77,-15.18,-11.82
12188,PGC012188,49.2593,3.6494,177.3998,-43.3041,9.02,890,925,0.00,0,12188,12188,1,890,925,11.017,,6.87,-7.77,-6.67
12209,NGC1291,49.3275,-41.1080,247.5239,-57.0424,10.88,788,641,9.08,10,12209,12209,3,818,675,12.530,12.430,-1.70,-7.06,-5.45
12285,NGC1292,49.5622,-27.6104,222.4210,-57.5238,9.91,1396,1298,18.88,14,12285,13418,1,1396,1298,11.565,,0.87,-14.72,-11.79
12286,NGC1313,49.5650,-66.4976,283.3587,-44.6439,9.22,470,252,4.25,7,12286,12286,3,482,264,11.127,10.121,-2.51,-2.78,-2.01
12303,PGC012303,49.6232,-6.1007,188.6376,-49.2356,8.64,2333,2325,0.00,0,12303,12303,1,2333,2325,10.824,,12.66,-21.60,-18.28
12309,ESO481-018,49.6367,-25.8356,219.1936,-57.1734,9.48,1795,1704,0.00,0,12431,13418,5,1682,1590,12.484,12.281,1.74,-17.50,-14.11
12327,ESO481-019,49.6803,-23.7821,215.5285,-56.7024,8.53,1536,1453,0.00,0,12327,13418,2,1517,1435,10.800,9.248,2.16,-14.78,-11.99
12342,NGC1289,49.7076,-1.9733,183.7999,-46.6749,10.63,2836,2845,0.00,0,12342,12756,1,2836,2845,12.228,,17.94,-25.35,-21.78
12345,PGC012345,49.7367,-10.5464,194.5811,-51.5688,8.51,1932,1905,0.00,0,12345,12345,1,1932,1905,10.762,,8.55,-18.32,-15.38
12368,PGC012368,49.7793,-11.3366,195.7168,-51.9317,9.54,3185,3154,0.00,0,12368,12117,1,3185,3154,11.316,,13.60,-30.48,-25.58
12373,NGC1297,49.8093,-19.1001,207.5891,-55.2148,10.29,1537,1473,27.16,11,12412,13505,4,1603,1537,12.544,12.134,5.24,-20.57,-16.95
12390,IC1914,49.8555,-49.5998,261.4893,-53.8953,9.24,1029,853,23.23,14,12390,12390,1,1029,853,11.137,,-7.68,-17.41,-13.33
12391,UGC02603,49.8070,81.3462,128.4587,20.1070,9.15,2518,2763,0.00,0,12174,12174,4,2370,2616,12.936,12.486,25.62,8.99,5.04
12394,PGC012394,49.8586,-6.1211,188.8696,-49.0562,9.69,2269,2260,0.00,0,12466,12466,4,2291,2282,11.913,11.459,11.22,-19.10,-16.31
12395,NGC1290,49.8546,-13.9897,199.6129,-53.1272,9.53,2565,2522,0.00,0,12395,12395,1,2565,2522,11.307,,9.40,-24.77,-20.71
12404,IC1913,49.8942,-32.4650,231.4916,-57.5849,8.87,1444,1326,21.09,14,12404,13418,1,1444,1326,10.939,,-0.81,-16.45,-13.17
12412,NGC1300,49.9213,-19.4111,208.1649,-55.2223,10.78,1620,1554,0.00,0,12412,13505,4,1603,1537,12.544,12.134,5.10,-20.58,-17.01
12431,NGC1302,49.9629,-26.0605,219.6980,-56.9258,10.79,1710,1617,0.00,0,12431,13418,5,1682,1590,12.484,12.281,1.63,-17.34,-14.12
12439,PGC012439,49.9743,-3.5939,185.9124,-47.4671,9.81,2776,2777,40.74,25,12439,12439,1,2776,2777,11.494,,18.23,-27.57,-23.82
12460,NGC1311,50.0292,-52.1858,265.2927,-52.6583,8.21,599,415,5.22,8,12460,12460,1,599,415,10.612,,-1.95,-3.85,-2.94
12466,NGC1299,50.0399,-6.2622,189.2036,-48.9898,10.19,2338,2328,27.54,14,12466,12466,4,2291,2282,11.913,11.459,11.17,-19.09,-16.41
12468,PGC012468,50.0421,41.3512,150.7256,-13.3571,9.73,2065,2240,0.00,0,12471,12471,2,2102,2277,12.057,10.334,49.63,-10.75,-13.05
12471,NGC1282,50.0508,41.3669,150.7223,-13.3404,10.38,2139,2314,52.48,23,12471,12471,2,2102,2277,12.057,10.334,49.73,-10.75,-13.07
12480,UGC02620,50.0718,80.2463,129.1613,19.2273,9.72,2244,2489,0.00,0,12174,12174,4,2370,2616,12.936,12.486,25.47,8.52,4.64
12484,ESO481-021,50.0720,-26.4636,220.4563,-56.8997,8.76,1754,1659,22.39,14,12431,13418,5,1682,1590,12.484,12.281,1.47,-17.31,-14.13
12514,UGC02684,50.0988,17.2957,166.3222,-32.7469,7.47,350,439,0.00,0,12719,12719,2,366,453,10.675,10.373,4.43,-2.97,-2.80
12559,NGC1306,50.2626,-25.5125,218.8082,-56.5583,9.60,1474,1382,0.00,0,12431,13418,5,1682,1590,12.484,12.281,1.81,-17.01,-14.01
12569,NGC1310,50.2642,-37.1017,240.0374,-57.0265,9.84,1807,1671,0.00,0,12651,13418,13,1669,1532,13.562,13.217,-2.21,-14.36,-11.49
12578,UGC02688,50.3329,41.9320,150.5811,-12.7532,10.30,2962,3138,0.00,0,12578,12578,1,2962,3138,11.891,,39.73,-8.16,-10.29
12608,PGC012608,50.4654,-15.7105,202.6316,-53.3409,9.27,2004,1952,35.16,25,12626,13505,2,2079,2027,12.111,12.000,7.82,-23.08,-19.63
12625,PGC012625,50.5239,-37.5867,240.8737,-56.7633,8.14,1624,1486,0.00,0,12651,13418,13,1669,1532,13.562,13.217,-2.34,-14.12,-11.37
12626,NGC1309,50.5275,-15.4000,202.2020,-53.1567,10.49,2154,2103,31.19,6,12626,13505,2,2079,2027,12.111,12.000,7.95,-22.95,-19.57
12633,PGC012633,50.5728,-7.0907,190.7017,-49.0214,10.25,2710,2694,0.00,0,12633,12633,1,2710,2694,11.843,,14.06,-24.87,-21.76
12636,ESO301-008,50.5945,-37.3976,240.5190,-56.7307,9.42,1498,1360,20.04,13,12651,13418,13,1669,1532,13.562,13.217,-2.50,-15.48,-12.48
12651,NGC1316,50.6739,-37.2082,240.1629,-56.6900,11.66,1760,1623,17.46,7,12651,13418,13,1669,1532,13.562,13.217,-2.12,-13.47,-10.90
12653,NGC1317,50.6844,-37.1038,239.9722,-56.6932,10.78,1941,1804,0.00,0,12651,13418,13,1669,1532,13.562,13.217,-2.24,-14.43,-11.68
12662,ESO301-009,50.7297,-42.1897,248.9771,-55.7690,8.93,1158,1003,0.00,0,12662,13418,1,1158,1003,10.971,,-2.77,-10.22,-8.17
12664,PGC012664,50.7298,-11.2035,196.2745,-51.0563,9.80,2752,2718,0.00,0,12664,12664,1,2752,2718,11.490,,11.76,-25.87,-22.49
12671,NGC1315,50.7774,-21.3753,211.8709,-55.0850,9.93,1555,1478,12.08,23,12838,13418,19,1563,1482,13.064,13.207,3.20,-15.78,-13.35
12680,PGC012680,50.8572,-19.2860,208.4824,-54.3495,8.13,1552,1484,0.00,0,12412,13505,4,1603,1537,12.544,12.134,5.11,-20.23,-17.27
12689,ESO548-004,50.8842,-18.6665,207.5039,-54.1102,7.82,1528,1462,0.00,0,12689,13418,1,1528,1462,10.417,,3.88,-14.51,-12.42
