"The Catalogue of Principal Galaxies (PGC) Number","Common name","Right ascension (J2000)","Declination (J2000)","Galactic longitude","Galactic latitude","Log intrinsic K luminosity at group distance","Heliocentric velocity","Velocity in Local Sheet reference frame (Tully et al. 2008)","Measured distance for individual galaxy","Percent error in measured distance","PGC identification of brightest member of group","PGC identification of brightest member of association","Number of group members","Unweighted average group heliocentric velocity","Unweighted average group velocity in Local Sheet frame","Log group mass by scaling relation from intrinsic luminosity and M/L prescription","Log group mass from virial theorem with bi-weight dispersion and radius parameters","Supergalactic X","Supergalactic Y","Supergalactic Z"
4075659,6dFJ1109531-234351,167.4711,-23.7309,274.8383,33.5418,8.01,2073,1803,0.00,0,33860,37061,2,2079,1809,11.972,7.889,-14.81,14.74,-12.04
4075665,2MASXJ23505397-4043414,357.7248,-40.7287,341.6125,-71.5438,9.75,1699,1667,0.00,0,72597,71001,2,1703,1671,11.739,7.236,-6.43,-21.32,0.55
4075666,6dFJ0936058-122625,144.0241,-12.4402,246.3362,28.2833,9.43,2738,2488,0.00,0,27309,27309,3,2787,2537,12.215,11.217,-9.66,19.00,-26.18
4075667,6dFJ1043475-242149,160.9479,-24.3635,269.1478,30.0065,8.81,3580,3302,0.00,0,31987,31987,2,3652,3374,11.965,10.377,-32.69,32.19,-33.24
4075668,6dFJ1201074-243418,180.2809,-24.5717,288.5934,36.8952,7.87,1783,1531,0.00,0,37906,37061,3,1755,1503,11.487,9.667,-14.74,13.44,-6.66
4075672,6dFJ1405215-414855,211.3395,-41.8153,317.3981,18.9707,9.48,1868,1644,0.00,0,50246,50246,2,1830,1607,11.620,9.262,-17.02,5.82,0.65
4075681,6dFJ1309178-242256,197.3239,-24.3821,308.1160,38.3099,9.49,2829,2616,0.00,0,45466,43296,22,2995,2783,13.210,12.747,-29.30,23.84,-2.16
4075686,6dFJ1309508-241431,197.4615,-24.2419,308.2913,38.4383,8.44,2948,2736,0.00,0,45466,43296,22,2995,2783,13.210,12.747,-29.39,24.00,-2.07
4075761,6dFJ0859256-245535,134.8564,-24.9263,250.6219,13.6199,9.14,1943,1659,0.00,0,96428,23222,2,1986,1701,11.560,11.487,-8.68,7.52,-19.49
4075828,6dFJ0913178-303722,138.3240,-30.6227,257.1078,12.2447,9.82,2514,2216,0.00,0,25943,25943,2,2507,2209,12.290,10.037,-15.48,9.71,-26.18
4075867,6dFJ0917396-231554,139.4152,-23.2650,252.0931,17.8709,9.51,3563,3281,0.00,0,4075867,26157,1,3563,3281,11.292,,-17.41,17.51,-36.11
4075944,6dFJ0935479-251010,143.9496,-25.1695,256.5397,19.6014,9.62,2706,2419,0.00,0,4075944,27885,1,2706,2419,11.364,,-14.81,13.68,-25.18
4075975,6dFJ0958549-342648,149.7286,-34.4467,266.9967,16.1228,9.59,2737,2432,0.00,0,28845,30308,8,2770,2465,13.079,12.685,-17.52,10.22,-20.16
4076004,6dFJ1003574-314636,150.9891,-31.7764,266.0908,18.8611,9.83,2620,2320,0.00,0,28960,30308,17,2643,2343,13.400,13.215,-18.53,12.61,-21.86
4076021,6dFJ1008107-333102,152.0446,-33.5172,267.9635,18.0459,9.50,3067,2764,0.00,0,4076021,30308,1,3067,2764,11.288,,-22.80,14.28,-25.19
4076035,6dFJ1013230-410709,153.3462,-41.1193,273.5215,12.5554,9.96,3291,2979,0.00,0,4076035,30308,1,3291,2979,11.603,,-27.96,11.54,-25.74
4076043,6dFJ1016171-333410,154.0713,-33.5695,269.4207,19.0190,10.27,3079,2777,0.00,0,29993,30308,6,2833,2531,12.606,12.713,-20.70,13.11,-21.64
4076066,6dFJ1028269-375426,157.1120,-37.9072,274.1413,16.8438,9.79,2678,2371,0.00,0,4076066,30308,1,2678,2371,11.479,,-22.05,11.39,-19.59
4076185,6dFJ1140592-442302,175.2468,-44.3839,289.8842,16.6958,9.35,3189,2893,0.00,0,36240,36240,3,3110,2813,12.173,10.423,-42.29,16.63,-20.29
4076223,6dFJ1243132-425927,190.8047,-42.9907,301.3340,19.8556,9.65,2769,2499,0.00,0,43296,43296,191,3407,3142,14.624,14.717,-32.63,13.22,-7.97
